"geocode","city","type of sell","average market price"
"29285","TREFLAOUENAN","Maison","1271"
"35059","LA CHAPELLE DES FOUGERETZ","Maison","3487"
"35238","RENNES","Maison","4527"
"35278","SAINT-GREGOIRE","Maison","3383"
"35032","BOURGBARRE","Maison","2150"
"35001","ACIGNE","Maison","2467"
"35210","PACE","Maison","2798"
"35189","MONTGERMONT","Maison","2698"
"35208","ORGERES","Maison","2156"
"35281","ST JACQUES DE LA LANDE","Maison","3474"
"35047","BRUZ","Maison","3115"
"35051","CESSON-SEVIGNE","Maison","3403"
"35024","BETTON","Maison","2862"
"35055","CHANTEPIE","Maison","2726"
"35363","PONT-PEAN","Maison","2202"
"35216","PARTHENAY-DE-BRETAGNE","Maison","2227"
"35353","VEZIN-LE-COQUET","Maison","3085"
"35266","SAINT-ERBLON","Maison","2207"
"35206","NOYAL-CHATILLON-SUR-SEICHE","Maison","2554"
"35352","VERN-SUR-SEICHE","Maison","2741"
"35120","GEVEZE","Maison","2302"
"35066","CHARTRES-DE-BRETAGNE","Maison","2825"
"35193","MONTREUIL-LE-GAST","Maison","2073"
"35099","DOMLOUP","Maison","2242"
"35195","MONTREUIL-SUR-ILLE","Maison","1698"
"35196","MORDELLES","Maison","2472"
"35133","IFFENDIC","Maison","1794"
"35136","JANZE","Maison","1833"
"35028","BOISTRUDAN","Maison","1329"
"35031","LA BOUEXIERE","Maison","2001"
"35152","LIFFRE","Maison","2265"
"35184","MONTAUBAN-DE-BRETAGNE","Maison","1808"
"35177","LA MEZIERE","Maison","2651"
"35117","GAEL","Maison","1079"
"35297","SAINT-MEEN-LE-GRAND","Maison","1360"
"35079","CHEVAIGNE","Maison","2523"
"35143","LANDUJAN","Maison","1633"
"35173","MELESSE","Maison","2598"
"35233","QUEBRIAC","Maison","1856"
"35058","LA CHAPELLE CHAUSSEE","Maison","1932"
"35274","SAINT-GERMAIN-SUR-ILLE","Maison","2151"
"35002","AMANLIS","Maison","1809"
"35088","CORPS-NUDS","Maison","2041"
"35234","QUEDILLAC","Maison","1588"
"35131","L'HERMITAGE","Maison","2208"
"35245","ROMILLE","Maison","2212"
"35130","HEDE-BAZOUGES","Maison","2093"
"35144","LANGAN","Maison","1987"
"35040","BRETEIL","Maison","2210"
"35135","IRODOUER","Maison","1791"
"35007","AUBIGNE","Maison","2186"
"35094","DINGE","Maison","1593"
"35069","CHATEAUGIRON","Maison","2347"
"35037","BREAL-SOUS-MONTFORT","Maison","2137"
"35022","BECHEREL","Maison","1965"
"35220","PIRE-SUR-SEICHE","Maison","1782"
"35296","SAINT-MEDARD-SUR-ILLE","Maison","1871"
"35251","SAINT-AUBIN-D AUBIGNE","Maison","2143"
"35154","LIVRE-SUR-CHANGEON","Maison","1578"
"35315","SAINT-SULPICE-LA-FORET","Maison","2180"
"35076","CHAVAGNE","Maison","2308"
"35351","LE VERGER","Maison","1777"
"35187","MONTERFIL","Maison","1711"
"35110","FEINS","Maison","1318"
"35326","SENS-DE-BRETAGNE","Maison","1710"
"35197","MOUAZE","Maison","2002"
"35101","DOURDAIN","Maison","1657"
"35275","SAINT-GILLES","Maison","2515"
"35207","NOYAL-SUR-VILAINE","Maison","2678"
"35319","SAINT-THURIAL","Maison","1787"
"35081","CLAYES","Maison","1953"
"35334","THORIGNE-FOUILLARD","Maison","2852"
"35180","MINIAC-SOUS-BECHEREL","Maison","1680"
"35128","GUIPEL","Maison","2366"
"35331","TALENSAC","Maison","1751"
"35039","BRECE","Maison","2276"
"35080","CINTRE","Maison","1986"
"35223","PLELAN-LE-GRAND","Maison","1728"
"35240","LE RHEU","Maison","2498"
"35003","ANDOUILLE-NEUVILLE","Maison","1505"
"35250","SAINT-ARMEL","Maison","2185"
"35211","PAIMPONT","Maison","1622"
"35060","LA CHAPELLE DU LOU DU LAC","Maison","1861"
"35146","LANGOUET","Maison","1852"
"35276","SAINT-GONDRAN","Maison","1882"
"35201","MUEL","Maison","1159"
"35169","MAXENT","Maison","1712"
"35023","BEDEE","Maison","1950"
"35107","ERCE-PRES-LIFFRE","Maison","1952"
"35188","MONTFORT-SUR-MEU","Maison","2063"
"35027","BOISGERVILLY","Maison","1726"
"35118","GAHARD","Maison","1564"
"35258","SAINT-BRIEUC-DES-IFFS","Maison","1277"
"35355","VIEUX-VY-SUR-COUESNON","Maison","1670"
"35327","SERVON-SUR-VILAINE","Maison","2717"
"35171","MEDREAC","Maison","1710"
"35290","SAINT-MALON-SUR-MEL","Maison","1359"
"35065","LA CHAPELLE THOUARAULT","Maison","2350"
"35307","SAINT-PERN","Maison","1450"
"35356","VIGNOC","Maison","1993"
"35050","CARDROC","Maison","1616"
"35091","LE CROUAIS","Maison","1296"
"35148","LANRIGAN","Maison","2597"
"35302","SAINT ONEN LA CHAPELLE","Maison","1406"
"35340","TREFFENDEL","Maison","1572"
"35227","PLEUMELEUC","Maison","2127"
"35204","NOUVOITOU","Maison","2369"
"35244","ROMAZY","Maison","1106"
"35067","CHASNE-SUR-ILLET","Maison","1953"
"35041","BRIE","Maison","2180"
"35317","SAINT-SYMPHORIEN","Maison","2269"
"35320","SAINT-UNIAC","Maison","1488"
"35305","SAINT-PERAN","Maison","1941"
"35277","SAINT-GONLAY","Maison","1577"
"35295","SAINT-MAUGAN","Maison","1234"
"35134","LES IFFS","Maison","1506"
"35191","LES PORTES DU COGLAIS","Maison","1196"
"35164","MARCILLE-RAOUL","Maison","1167"
"35163","LUITRE","Maison","1290"
"35121","GOSNE","Maison","2143"
"35019","BAZOUGES-LA-PEROUSE","Maison","1204"
"35004","VAL-COUESNON","Maison","1166"
"35137","JAVENE","Maison","1549"
"35282","SAINT-JEAN-SUR-COUESNON","Maison","1481"
"35086","COMBOURTILLE","Maison","1234"
"35273","SAINT-GERMAIN-EN-COGLES","Maison","1425"
"35115","FOUGERES","Maison","1646"
"35215","PARIGNE","Maison","1494"
"35111","LE FERRE","Maison","875"
"35138","LAIGNELET","Maison","1763"
"35261","ST CHRISTOPHE DE VALAINS","Maison","1253"
"35257","MAEN ROCH","Maison","1417"
"35309","SAINT-REMY-DU-PLAIN","Maison","1396"
"35214","PARCE","Maison","1672"
"35178","MEZIERES-SUR-COUESNON","Maison","1615"
"35243","ROMAGNE","Maison","1709"
"35280","SAINT-HILAIRE-DES-LANDES","Maison","1385"
"35271","ST GEORGES DE REINTEMBAULT","Maison","1026"
"35112","FLEURIGNE","Maison","1226"
"35230","POILLEY","Maison","1437"
"35150","LECOUSSE","Maison","1619"
"35310","SAINT-SAUVEUR-DES-LANDES","Maison","1430"
"35025","BILLE","Maison","1406"
"35253","SAINT-AUBIN-DU-CORMIER","Maison","1904"
"35304","SAINT-OUEN-DES-ALLEUX","Maison","1556"
"35162","LOUVIGNE-DU-DESERT","Maison","1128"
"35157","LE LOROUX","Maison","1223"
"35205","NOYAL-SOUS-BAZOUGES","Maison","1543"
"35075","CHAUVIGNE","Maison","1574"
"35292","SAINT-MARC-LE-BLANC","Maison","1005"
"35142","LANDEAN","Maison","1202"
"35174","MELLE","Maison","957"
"35021","BEAUCE","Maison","1399"
"35018","LA BAZOUGE DU DESERT","Maison","1373"
"35357","VILLAMEE","Maison","1662"
"35062","LA CHAPELLE JANSON","Maison","1171"
"35242","RIMOU","Maison","987"
"35071","LE CHATELLIER","Maison","1297"
"35190","MONTHAULT","Maison","932"
"35063","LA CHAPELLE SAINT AUBERT","Maison","1091"
"35336","LE TIERCENT","Maison","4114"
"35324","LA SELLE-EN-LUITRE","Maison","1106"
"35236","REDON","Maison","1555"
"35312","SAINT-SENOUX","Maison","1743"
"35168","VAL D'ANAST","Maison","1355"
"35139","LAILLE","Maison","2355"
"35054","CHANTELOUP","Maison","1917"
"35322","LE SEL DE BRETAGNE","Maison","1682"
"35294","SAINTE-MARIE","Maison","1388"
"35328","SIXT-SUR-AFF","Maison","1176"
"35084","COMBLESSAC","Maison","1409"
"35013","BAINS-SUR-OUST","Maison","1347"
"35219","PIPRIAC","Maison","1269"
"35176","GUIPRY-MESSAC","Maison","1481"
"35127","GUIGNEN","Maison","1920"
"35237","RENAC","Maison","1524"
"35145","LANGON","Maison","1288"
"35123","GOVEN","Maison","2593"
"35090","CREVIN","Maison","1771"
"35124","GRAND-FOUGERAY","Maison","1255"
"35064","LA CHAPELLE-DE-BRAIN","Maison","1034"
"35249","SAINTE-ANNE-SUR-VILAINE","Maison","1347"
"35321","SAULNIERES","Maison","1596"
"35033","BOURG-DES-COMPTES","Maison","1931"
"35126","GUICHEN","Maison","2372"
"35012","BAIN-DE-BRETAGNE","Maison","1767"
"35212","PANCE","Maison","1728"
"35016","BAULON","Maison","1913"
"35106","ERCE-EN-LAMEE","Maison","1323"
"35311","SAINT-SEGLIN","Maison","1517"
"35221","PLECHATEL","Maison","1643"
"35057","LA CHAPELLE BOUEXIC","Maison","1610"
"35149","LASSY","Maison","2383"
"35285","SAINT-JUST","Maison","1535"
"35268","SAINT-GANTON","Maison","882"
"35151","LIEURON","Maison","1340"
"35218","LE PETIT FOUGERAY","Maison","2361"
"35316","SAINT-SULPICE-DES-LANDES","Maison","1110"
"35089","LA COUYERE","Maison","1353"
"35202","LA NOE BLANCHE","Maison","1260"
"35231","POLIGNE","Maison","1622"
"35098","DOMINELAIS (LA)","Maison","1274"
"35332","TEILLAY","Maison","1250"
"35343","TRESBOEUF","Maison","1304"
"35030","LA BOSSE DE BRETAGNE","Maison","1572"
"35035","BOVEL","Maison","1656"
"35155","LOHEAC","Maison","1228"
"35289","SAINT-MALO-DE-PHILY","Maison","1647"
"35175","MERNEL","Maison","1416"
"35140","LALLEU","Maison","1361"
"35046","LES BRULAIS","Maison","1133"
"35045","BRUC-SUR-AFF","Maison","1608"
"35160","LOUTEHEL","Maison","1287"
"35085","COMBOURG","Maison","1929"
"35314","SAINT-SULIAC","Maison","3421"
"35172","MEILLAC","Maison","1630"
"35049","CANCALE","Maison","3587"
"35306","SAINT-PERE-MARC-EN-POULET","Maison","2296"
"35241","LA RICHARDAIS","Maison","2690"
"35284","SAINT-JOUAN-DES-GUERETS","Maison","2695"
"35224","PLERGUER","Maison","1736"
"35256","SAINT-BRIAC-SUR-MER","Maison","4192"
"35132","HIREL","Maison","1936"
"35288","SAINT-MALO","Maison","3866"
"35299","SAINT-MELOIR-DES-ONDES","Maison","2708"
"35308","SAINT-PIERRE-DE-PLESGUEN","Maison","1536"
"35078","CHERRUEIX","Maison","2289"
"35034","LA BOUSSAC","Maison","1140"
"35156","LONGAULNAY","Maison","1579"
"35265","SAINT-DOMINEUC","Maison","1777"
"35228","PLEURTUIT","Maison","2631"
"35247","ROZ-SUR-COUESNON","Maison","1424"
"35179","MINIAC-MORVAN","Maison","1834"
"35255","SAINT-BENOIT-DES-ONDES","Maison","2207"
"35116","LA FRESNAIS","Maison","1737"
"35248","SAINS","Maison","1108"
"35263","SAINT-COULOMB","Maison","2920"
"35329","SOUGEAL","Maison","991"
"35259","SAINT-BROLADRE","Maison","1611"
"35287","SAINT-LUNAIRE","Maison","4837"
"35279","SAINT-GUINOUX","Maison","1790"
"35345","TREVERIEN","Maison","1362"
"35122","LA GOUESNIERE","Maison","2167"
"35009","BAGUER-MORVAN","Maison","1513"
"35291","SAINT-MARCAN","Maison","1362"
"35342","TREMEHEUC","Maison","1631"
"35104","EPINIAC","Maison","1743"
"35095","DOL DE BRETAGNE","Maison","1957"
"35362","LE TRONCHET","Maison","2055"
"35226","PLEUGUENEUC","Maison","1715"
"35153","LILLEMER","Maison","1516"
"35093","DINARD","Maison","4131"
"35070","CHATEAUNEUF-D ILLE-ET-VILAI","Maison","1735"
"35225","PLESDER","Maison","1389"
"35029","BONNEMAIN","Maison","1656"
"35246","ROZ-LANDRIEUX","Maison","1918"
"35186","MONT-DOL","Maison","2283"
"35056","LA CHAPELLE AUX FILTZMEENS","Maison","1531"
"35358","LA VILLE ES NONAIS","Maison","2119"
"35017","LA BAUSSAINE","Maison","1710"
"35222","PLEINE-FOUGERES","Maison","1239"
"35337","TINTENIAC","Maison","1838"
"35361","LE VIVIER SUR MER","Maison","1740"
"35010","BAGUER-PICAN","Maison","1515"
"35092","CUGUEN","Maison","1294"
"35339","TRANS-LA-FORET","Maison","1532"
"35044","BROUALAN","Maison","2402"
"35318","SAINT-THUAL","Maison","2001"
"35270","SAINT-GEORGES-DE-GREHAIGNE","Maison","1732"
"35159","LOURMAIS","Maison","1666"
"35181","LE MINIHIC SUR RANCE","Maison","2876"
"35346","TRIMER","Maison","1967"
"35354","VIEUX-VIEL","Maison","3372"
"35286","SAINT-LEGER-DES-PRES","Maison","1182"
"35335","THOURIE","Maison","1476"
"35114","FORGES-LA-FORET","Maison","998"
"35096","DOMAGNE","Maison","1835"
"35068","CHATEAUBOURG","Maison","2031"
"35239","RETIERS","Maison","1601"
"35006","ARGENTRE-DU-PLESSIS","Maison","1599"
"35161","LOUVIGNE-DE-BAIS","Maison","1460"
"35125","LA GUERCHE-DE-BRETAGNE","Maison","1224"
"35217","LE PERTRE","Maison","1178"
"35235","RANNEE","Maison","1171"
"35008","AVAILLES-SUR-SEICHE","Maison","1378"
"35167","MARTIGNE-FERCHAUD","Maison","1293"
"35283","SAINT-JEAN-SUR-VILAINE","Maison","1872"
"35347","VAL-D'IZE","Maison","1669"
"35360","VITRE","Maison","2223"
"35014","BAIS","Maison","1595"
"35141","LANDAVRAN","Maison","1426"
"35038","BREAL-SOUS-VITRE","Maison","1245"
"35087","CORNILLE","Maison","1545"
"35015","BALAZE","Maison","1413"
"35300","SAINT-M'HERVE","Maison","1519"
"35183","MONDEVERT","Maison","1464"
"35061","LA CHAPELLE-ERBREE","Maison","1362"
"35338","TORCE","Maison","1494"
"35260","SAINT-CHRISTOPHE-DES-BOIS","Maison","1458"
"35264","SAINT-DIDIER","Maison","2057"
"35200","MOUTIERS","Maison","1168"
"35350","VERGEAL","Maison","1260"
"35359","VISSEICHE","Maison","1385"
"35170","MECE","Maison","1243"
"35333","LE THEIL-DE-BRETAGNE","Maison","1596"
"35097","DOMALAIN","Maison","1476"
"35194","MONTREUIL-SOUS-PEROUSE","Maison","1486"
"35229","POCE-LES-BOIS","Maison","1755"
"35198","MOULINS","Maison","1489"
"35082","COESMES","Maison","1223"
"35108","ESSE","Maison","2005"
"35272","SAINT-GERMAIN-DU-PINEL","Maison","1491"
"35042","BRIELLES","Maison","968"
"35103","EANCE","Maison","949"
"35109","ETRELLES","Maison","1866"
"35325","LA SELLE-GUERCHAISE","Maison","1342"
"35166","MARPIRE","Maison","1367"
"35105","ERBREE","Maison","1552"
"35072","CHATILLON-EN-VENDELAIS","Maison","1309"
"35262","SAINTE-COLOMBE","Maison","1416"
"35165","MARCILLE-ROBERT","Maison","1271"
"35119","GENNES-SUR-SEICHE","Maison","1631"
"35330","TAILLIS","Maison","1336"
"35102","DROUGES","Maison","1237"
"35052","CHAMPEAUX","Maison","1592"
"35192","MONTREUIL-DES-LANDES","Maison","1288"
"35232","PRINCE","Maison","1133"
"35005","ARBRISSEL","Maison","1235"
"35185","MONTAUTOUR","Maison","917"
"35252","SAINT-AUBIN-DES-LANDES","Maison","1597"
"35199","MOUSSE","Maison","1237"
"35077","CHELUN","Maison","998"
"56247","SULNIAC","Maison","2208"
"56259","LA TRINITE SURZUR","Maison","2127"
"56002","AMBON","Maison","2335"
"56254","TREDION","Maison","1532"
"56067","GRANDCHAMP","Maison","2218"
"56214","SAINT-GILDAS-DE-RHUYS","Maison","3561"
"56240","SARZEAU","Maison","3204"
"56149","NOYAL-MUZILLAC","Maison","2121"
"56211","SAINT-CONGARD","Maison","1154"
"56137","MONTERBLANC","Maison","2012"
"56053","ELVEN","Maison","1935"
"56060","LES FOUGERETS","Maison","1260"
"56123","MALANSAC","Maison","1444"
"56153","PEAULE","Maison","1881"
"56184","QUESTEMBERT","Maison","1715"
"56028","CADEN","Maison","1509"
"56260","VANNES","Maison","3258"
"56155","PENESTIN","Maison","2979"
"56251","THEIX-NOYALO","Maison","2506"
"56239","SAINT-VINCENT-SUR-OUST","Maison","1301"
"56022","BRANDIVY","Maison","3332"
"56111","LIMERZEL","Maison","1332"
"56206","SAINT-AVE","Maison","2579"
"56008","BADEN","Maison","3743"
"56154","PEILLAC","Maison","1269"
"56052","DAMGAN","Maison","3392"
"56255","TREFFLEAN","Maison","1906"
"56147","NIVILLAC","Maison","1986"
"56109","LAUZACH","Maison","1839"
"56231","SAINT-NOLFF","Maison","2086"
"56232","SAINT-PERREUX","Maison","1233"
"56001","ALLAIRE","Maison","1502"
"56252","LE TOUR DU PARC","Maison","2880"
"56015","BERRIC","Maison","2158"
"56033","CARENTOIR","Maison","1308"
"56061","LA GACILLY","Maison","1224"
"56084","LE HEZO","Maison","3065"
"56250","THEHILLAC","Maison","1360"
"56243","SENE","Maison","3313"
"56164","PLOEREN","Maison","2510"
"56115","LOCMARIA-GRANDCHAMP","Maison","2239"
"56194","RIEUX","Maison","1191"
"56088","ILE-D ARZ","Maison","3541"
"56011","BEGANNE","Maison","1480"
"56135","MOLAC","Maison","1397"
"56003","ARRADON","Maison","3856"
"56005","ARZON","Maison","4263"
"56143","MUZILLAC","Maison","2095"
"56157","PLAUDREN","Maison","1641"
"56044","COURNON","Maison","1053"
"56216","SAINT-GORGON","Maison","1116"
"56171","PLUHERLIN","Maison","1583"
"56030","CAMOEL","Maison","2560"
"56042","COLPO","Maison","1589"
"56223","SAINT-JEAN-LA-POTERIE","Maison","1342"
"56108","LARRE","Maison","1913"
"56158","PLESCOP","Maison","2515"
"56248","SURZUR","Maison","2731"
"56196","ROCHEFORT-EN-TERRE","Maison","1549"
"56087","ILE-AUX-MOINES","Maison","6110"
"56058","FEREL","Maison","1930"
"56126","MARZAN","Maison","1747"
"56229","SAINT-MARTIN","Maison","1130"
"56212","SAINT-DOLAY","Maison","1836"
"56205","SAINT-ARMEL","Maison","3808"
"56077","LE GUERNO","Maison","1677"
"56120","LOCQUELTAS","Maison","2302"
"56106","LARMOR-BADEN","Maison","4414"
"56159","PLEUCADEUC","Maison","1315"
"56221","SAINT-JACUT-LES-PINS","Maison","1148"
"56224","SAINT-LAURENT","Maison","1759"
"56253","TREAL","Maison","1177"
"56004","ARZAL","Maison","2014"
"56132","MEUCON","Maison","2248"
"56218","SAINT-GRAVE","Maison","1497"
"56018","BILLIERS","Maison","2156"
"56045","LE COURS","Maison","2208"
"56261","LA VRAIE CROIX","Maison","2094"
"56195","LA ROCHE BERNARD","Maison","2884"
"56078","GUIDEL","Maison","2579"
"56162","PLOEMEUR","Maison","2858"
"56083","HENNEBONT","Maison","1911"
"56121","LORIENT","Maison","2240"
"56193","RIANTEC","Maison","2108"
"56220","SAINTE HELENE","Maison","2995"
"56094","KERVIGNAC","Maison","2041"
"56185","QUEVEN","Maison","1998"
"56107","LARMOR-PLAGE","Maison","3453"
"56098","LANESTER","Maison","1936"
"56101","LANGUIDIC","Maison","1784"
"56090","INZINZAC-LOCHRIST","Maison","1690"
"56181","PORT-LOUIS","Maison","2726"
"56169","PLOUHINEC","Maison","2548"
"56130","MERLEVENEZ","Maison","2458"
"56069","GROIX","Maison","3123"
"56118","LOCMIQUELIC","Maison","2299"
"56188","QUISTINIC","Maison","1563"
"56166","PLOUAY","Maison","1870"
"56179","PONT-SCORFF","Maison","1787"
"56040","CLEGUER","Maison","1792"
"56036","CAUDAN","Maison","1736"
"56021","BRANDERION","Maison","1857"
"56062","GAVRES","Maison","2578"
"56063","GESTEL","Maison","2101"
"56029","CALAN","Maison","1969"
"56026","BUBRY","Maison","1240"
"56089","INGUINIEL","Maison","1467"
"56148","NOSTANG","Maison","2409"
"56104","LANVAUDAN","Maison","1619"
"56034","CARNAC","Maison","4181"
"56031","CAMORS","Maison","2005"
"56054","ERDEVEN","Maison","2769"
"56177","PLUVIGNER","Maison","2193"
"56009","BANGOR","Maison","4318"
"56234","SAINT-PIERRE-QUIBERON","Maison","4022"
"56176","PLUNERET","Maison","2297"
"56007","AURAY","Maison","2832"
"56023","BRECH","Maison","2370"
"56116","LOCMARIAQUER","Maison","4267"
"56152","LE PALAIS","Maison","3972"
"56263","SAINTE-ANNE-D'AURAY","Maison","2132"
"56119","LOCOAL-MENDON","Maison","2797"
"56055","ETEL","Maison","2780"
"56013","BELZ","Maison","2698"
"56161","PLOEMEL","Maison","2480"
"56096","LANDAUL","Maison","2392"
"56114","LOCMARIA","Maison","3836"
"56241","SAUZON","Maison","3845"
"56046","CRACH","Maison","2888"
"56175","PLUMERGAT","Maison","2685"
"56186","QUIBERON","Maison","4334"
"56233","SAINT-PHILIBERT","Maison","3907"
"56168","PLOUHARNEL","Maison","2971"
"56258","LA TRINITE SUR MER","Maison","4750"
"56262","LE BONO","Maison","2848"
"56167","PLOUGOUMELEN","Maison","2961"
"56097","LANDEVANT","Maison","2073"
"56085","HOEDIC","Maison","6294"
"56086","HOUAT","Maison","5670"
"56165","PLOERMEL","Maison","1829"
"56197","VAL D'OUST","Maison","1605"
"56129","MENEAC","Maison","1029"
"56244","SERENT","Maison","1395"
"56219","SAINT-GUYOMARD","Maison","1713"
"56047","CREDIN","Maison","968"
"56075","GUER","Maison","1430"
"56190","REGUINY","Maison","1351"
"56006","AUGAN","Maison","1083"
"56249","TAUPONT","Maison","1489"
"56027","BULEON","Maison","1257"
"56122","LOYAT","Maison","1200"
"56103","LANTILLAC","Maison","1044"
"56191","REMINIAC","Maison","1203"
"56065","GOURHEL","Maison","1562"
"56198","ROHAN","Maison","988"
"56124","MALESTROIT","Maison","1502"
"56202","SAINT-ABRAHAM","Maison","1227"
"56172","PLUMELEC","Maison","1504"
"56160","PLEUGRIFFET","Maison","1336"
"56204","SAINT-ALLOUESTRE","Maison","1447"
"56080","GUILLIERS","Maison","958"
"56127","MAURON","Maison","1284"
"56102","LANOUEE","Maison","1141"
"56230","SAINT-NICOLAS-DU-TERTRE","Maison","1232"
"56200","RUFFIAC","Maison","1261"
"56024","BREHAN","Maison","1314"
"56136","MONTENEUF","Maison","1231"
"56189","RADENAC","Maison","1207"
"56091","JOSSELIN","Maison","1461"
"56070","GUEGON","Maison","1235"
"56035","CARO","Maison","1218"
"56051","CRUGUEL","Maison","1170"
"56079","GUILLAC","Maison","1326"
"56134","MOHON","Maison","1069"
"56227","SAINT-MALO-DES-TROIS-FONTAI","Maison","917"
"56208","SAINT-BRIEUC-DE-MAURON","Maison","996"
"56068","LA GREE-SAINT-LAURENT","Maison","1255"
"56226","SAINT-MALO-DE-BEIGNON","Maison","1169"
"56020","BOHAL","Maison","1566"
"56236","SAINT-SERVANT","Maison","1272"
"56228","SAINT-MARCEL","Maison","1682"
"56017","BIGNAN","Maison","1575"
"56032","CAMPENEAC","Maison","1293"
"56225","SAINT-LERY","Maison","559"
"56071","GUEHENNO","Maison","1407"
"56222","SAINT-JEAN-BREVELAY","Maison","1352"
"56133","MISSIRIAC","Maison","1477"
"56257","LA TRINITE-PORHOET","Maison","692"
"56056","EVRIGUET","Maison","793"
"56256","TREHORENTEUC","Maison","1145"
"56043","CONCORET","Maison","1281"
"56050","LA CROIX-HELLEAN","Maison","1567"
"56012","BEIGNON","Maison","1535"
"56180","PORCARO","Maison","904"
"56025","BRIGNAC","Maison","668"
"56019","BILLIO","Maison","1209"
"56082","HELLEAN","Maison","1042"
"56112","LIZIO","Maison","1272"
"56145","NEANT-SUR-YVEL","Maison","1029"
"56141","MOUSTOIR-AC","Maison","1528"
"56041","CLEGUEREC","Maison","1228"
"56173","PLUMELIAU","Maison","1525"
"56125","MALGUENAC","Maison","2069"
"56178","PONTIVY","Maison","1351"
"56140","MOREAC","Maison","1459"
"56113","LOCMALO","Maison","1608"
"56010","BAUD","Maison","1508"
"56066","GOURIN","Maison","1009"
"56174","PLUMELIN","Maison","1616"
"56081","GUISCRIFF","Maison","1108"
"56039","LA CHAPELLE NEUVE","Maison","1911"
"56105","LANVENEGEN","Maison","1054"
"56182","PRIZIAC","Maison","1454"
"56014","BERNE","Maison","1225"
"56057","LE FAOUET","Maison","1209"
"56237","SAINT-THURIAU","Maison","1764"
"56246","LE SOURN","Maison","2317"
"56146","NEULLIAC","Maison","1664"
"56099","LANGOELAN","Maison","2593"
"56151","NOYAL-PONTIVY","Maison","1398"
"56117","LOCMINE","Maison","1529"
"56093","KERGRIST","Maison","1196"
"56131","MESLAN","Maison","1332"
"56215","SAINT-GONNERY","Maison","1397"
"56201","LE SAINT","Maison","993"
"56128","MELRAND","Maison","1623"
"56170","PLOURAY","Maison","1847"
"56092","KERFOURN","Maison","1021"
"56245","SILFIAC","Maison","983"
"56163","PLOERDUT","Maison","1305"
"56210","SAINT-CARADEC-TREGOMEL","Maison","769"
"56264","KERNASCLEDEN","Maison","1734"
"56073","GUEMENE-SUR-SCORFF","Maison","852"
"56242","SEGLIEN","Maison","1065"
"56203","SAINT-AIGNAN","Maison","1318"
"56100","LANGONNET","Maison","1218"
"56110","LIGNOL","Maison","1036"
"56144","EVELLYS","Maison","1227"
"56074","GUENIN","Maison","1396"
"56072","GUELTAS","Maison","976"
"56076","GUERN","Maison","1219"
"56207","SAINT-BARTHELEMY","Maison","1228"
"56238","SAINT-TUGDUAL","Maison","1490"
"56048","LE CROISTY","Maison","1332"
"56209","SAINTE-BRIGITTE","Maison","1203"
"56199","ROUDOUALLEC","Maison","998"
"56156","PERSQUEN","Maison","997"
"56213","SAINT-GERAND","Maison","2059"
"22154","MORIEUX","Maison","1853"
"22173","PLANGUENOUAL","Maison","2135"
"22141","MANTALLOT","Maison","1546"
"22247","POMMERIT-JAUDY","Maison","1225"
"22078","HENGOAT","Maison","934"
"22309","SAINT-LAUNEUC","Maison","960"
"22100","LANGAST","Maison","948"
"29065","GOURLIZON","Maison","1262"
"29066","GUENGAT","Maison","1422"
